Frames,Invar,Pdr_solve,blockCube,ensureFrames,ensureFrames_Invar,generalize,pushClauses,pushClauses.Pdr_ManCheckCube,run,solverAddClause,Frames_q,Invar_q,Pdr_solve_q,blockCube_q,ensureFrames_q,ensureFrames_Invar_q,generalize_q,pushClauses_q,pushClauses.Pdr_ManCheckCube_q,run_q,solverAddClause_q,Frames_r,Invar_r,Pdr_solve_r,blockCube_r,ensureFrames_r,ensureFrames_Invar_r,generalize_r,pushClauses_r,pushClauses.Pdr_ManCheckCube_r,run_r,solverAddClause_r
22.0,229.0,40.1,34.97,0.01,0.0,31.3,5.13,5.01,40.12,0.27,24.0,239.0,33.1,26.46,0.01,0.0,24.02,6.64,6.52,33.11,0.16,1.0909090909090908,1.0436681222707425,0.8254364089775561,0.7566485559050615,1.0,nan,0.7674121405750799,1.2943469785575048,1.3013972055888223,0.8252741774675972,0.5925925925925926
5.0,nan,0.02,0.02,0.0,nan,0.01,0.0,0.0,0.04,0.0,5.0,nan,0.03,0.02,0.01,nan,0.02,0.0,0.0,0.04,0.0,1.0,nan,1.5,1.0,nan,nan,2.0,nan,nan,1.0,nan
51.0,638.0,1750.92,1724.11,0.08,0.05,1400.61,26.79,26.04,1750.94,16.34,58.0,1285.0,1752.39,1687.83,0.06,0.03,1452.5,64.53,62.66,1752.4,32.37,1.1372549019607843,2.0141065830721003,1.0008395586320336,0.9789572591075976,0.75,0.6,1.0370481433089869,2.408734602463606,2.4062980030721968,1.0008338378242545,1.9810281517747856
13.0,nan,1761.71,1749.02,0.01,nan,1574.42,12.67,11.56,1761.72,1.1,13.0,nan,1762.11,1749.31,0.01,nan,1580.19,12.79,11.64,1762.12,1.1,1.0,nan,1.0002270521254917,1.0001658071377113,1.0,nan,1.0036648416559748,1.0094711917916337,1.0069204152249136,1.0002270508366822,1.0
6.0,15.0,0.12,0.1,0.01,nan,0.06,0.01,0.01,0.13,0.0,6.0,15.0,0.13,0.11,0.01,nan,0.07,0.01,0.01,0.14,0.0,1.0,1.0,1.0833333333333335,1.0999999999999999,1.0,nan,1.1666666666666667,1.0,1.0,1.076923076923077,nan
6.0,7.0,0.08,0.07,0.0,nan,0.04,0.01,0.01,0.09,0.0,6.0,7.0,0.07,0.06,0.01,nan,0.04,0.0,0.0,0.09,0.0,1.0,1.0,0.8750000000000001,0.857142857142857,nan,nan,1.0,0.0,0.0,1.0,nan
12.0,nan,1791.45,1764.34,0.03,nan,1723.35,26.97,26.52,1791.48,0.78,12.0,nan,1791.03,1764.06,0.03,nan,1723.85,26.83,26.38,1791.05,0.77,1.0,nan,0.9997655530436238,0.9998413004296224,1.0,nan,1.000290132590594,0.9948090470893586,0.9947209653092006,0.9997599749927434,0.9871794871794871
6.0,12.0,0.16,0.13,0.01,nan,0.09,0.01,0.01,0.17,0.0,6.0,12.0,0.16,0.13,0.01,nan,0.09,0.01,0.01,0.17,0.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,nan
20.0,347.0,1769.62,1746.23,0.02,0.0,1586.46,23.38,22.51,1769.64,6.35,20.0,243.0,1766.55,1708.07,0.02,0.0,1545.64,58.47,53.32,1766.57,4.55,1.0,0.7002881844380403,0.9982651642725557,0.9781472085578646,1.0,nan,0.9742697578255992,2.5008554319931564,2.368725011106175,0.9982651838792069,0.7165354330708662
4.0,nan,0.05,0.03,0.01,nan,0.03,0.0,0.0,0.06,0.0,4.0,nan,0.05,0.03,0.01,nan,0.03,0.0,0.0,0.06,0.0,1.0,nan,1.0,1.0,1.0,nan,1.0,nan,nan,1.0,nan
4.0,15.0,0.01,0.01,0.0,nan,0.0,0.0,0.0,0.02,0.0,4.0,15.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.02,0.0,1.0,1.0,0.0,0.0,nan,nan,nan,nan,nan,1.0,nan
8.0,6.0,0.63,0.6,0.01,0.0,0.48,0.02,0.02,0.64,0.0,13.0,21.0,7.08,6.68,0.01,0.0,6.07,0.39,0.38,7.1,0.02,1.625,3.5,11.238095238095237,11.133333333333333,1.0,nan,12.645833333333334,19.5,19.0,11.09375,nan
7.0,2.0,0.03,0.02,0.0,nan,0.02,0.0,0.0,0.04,0.0,7.0,2.0,0.03,0.02,0.01,nan,0.02,0.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,nan,nan,1.0,nan,nan,1.25,nan
71.0,2630.0,960.23,611.93,0.04,nan,577.6,348.25,343.52,960.25,3.24,71.0,2546.0,924.78,598.95,0.04,nan,564.76,325.79,321.75,924.8,3.34,1.0,0.9680608365019011,0.9630817616612686,0.9787884235124934,1.0,nan,0.977770083102493,0.9355061019382628,0.936626688402422,0.9630825305909919,1.0308641975308641
27.0,72.0,1760.09,1647.33,0.01,0.0,1510.02,112.75,107.02,1760.1,4.33,25.0,75.0,1762.13,1639.34,0.01,0.0,1521.63,122.78,113.87,1762.15,4.21,0.9259259259259259,1.0416666666666667,1.0011590316404275,0.9951497271342111,1.0,nan,1.0076886398855645,1.0889578713968957,1.064006727714446,1.0011647065507643,0.9722863741339491
48.0,877.0,241.51,168.66,0.03,nan,160.12,72.82,72.2,241.53,0.7,67.0,973.0,286.05,177.0,0.03,nan,167.8,109.0,108.07,286.06,0.88,1.3958333333333333,1.1094640820980615,1.1844230052585816,1.0494485948061187,1.0,nan,1.0479640269797652,1.4968415270530075,1.4968144044321328,1.1843663313045998,1.2571428571428573
5.0,nan,0.58,0.56,0.01,nan,0.52,0.0,0.0,0.59,0.0,5.0,nan,0.58,0.56,0.01,nan,0.52,0.0,0.0,0.59,0.0,1.0,nan,1.0,1.0,1.0,nan,1.0,nan,nan,1.0,nan
4.0,16.0,0.01,0.0,0.0,nan,0.0,0.0,0.0,0.02,0.0,4.0,16.0,0.01,0.0,0.0,nan,0.0,0.0,0.0,0.02,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,1.0,nan
4.0,2.0,0.01,0.0,0.0,nan,0.0,0.0,0.0,0.02,0.0,4.0,2.0,0.01,0.0,0.0,nan,0.0,0.0,0.0,0.02,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,1.0,nan
18.0,42.0,1.81,1.64,0.01,0.0,1.39,0.17,0.17,1.83,0.01,17.0,51.0,2.16,1.87,0.01,0.0,1.6,0.29,0.28,2.18,0.01,0.9444444444444444,1.2142857142857142,1.1933701657458564,1.1402439024390245,1.0,nan,1.1510791366906477,1.7058823529411762,1.647058823529412,1.1912568306010929,1.0
3.0,16.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.02,0.0,3.0,16.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.01,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,0.5,nan
8.0,nan,1778.8,1774.22,0.01,nan,1694.48,4.49,4.28,1778.82,0.83,8.0,nan,1780.16,1775.62,0.01,nan,1696.38,4.44,4.23,1780.17,0.82,1.0,nan,1.0007645603777828,1.000789079144638,1.0,nan,1.0011212879467448,0.9888641425389756,0.9883177570093459,1.0007589300772424,0.9879518072289156
4.0,16.0,0.01,0.01,0.0,nan,0.0,0.0,0.0,0.02,0.0,4.0,16.0,0.01,0.0,0.0,nan,0.0,0.0,0.0,0.02,0.0,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,1.0,nan
42.0,2622.0,267.75,173.78,0.03,0.02,161.21,93.95,91.53,267.77,2.47,52.0,3271.0,349.43,228.67,0.05,0.03,210.19,120.74,116.73,349.45,4.04,1.2380952380952381,1.2475209763539283,1.305060690943044,1.3158591322361606,1.6666666666666667,1.5,1.3038273059983871,1.2851516764236295,1.2753195673549655,1.3050379056653099,1.6356275303643724
7.0,2.0,0.05,0.03,0.01,nan,0.03,0.01,0.01,0.06,0.0,7.0,2.0,0.05,0.04,0.01,nan,0.03,0.0,0.0,0.06,0.0,1.0,1.0,1.0,1.3333333333333335,1.0,nan,1.0,0.0,0.0,1.0,nan
4.0,2.0,0.01,0.0,0.01,nan,0.0,0.0,0.0,0.02,0.0,4.0,2.0,0.01,0.0,0.0,nan,0.0,0.0,0.0,0.02,0.0,1.0,1.0,1.0,nan,0.0,nan,nan,nan,nan,1.0,nan
13.0,nan,36.54,35.85,0.03,nan,33.9,0.64,0.63,36.57,0.02,13.0,nan,36.51,35.82,0.03,nan,33.87,0.64,0.63,36.53,0.02,1.0,nan,0.9991789819376026,0.999163179916318,1.0,nan,0.9991150442477876,1.0,1.0,0.9989062072737217,1.0
11.0,9.0,1770.37,1770.21,0.01,0.0,1643.92,0.15,0.15,1770.39,1.19,16.0,147.0,154.92,153.67,0.01,0.0,141.39,1.23,1.21,154.93,0.21,1.4545454545454546,16.333333333333332,0.08750713127764252,0.0868089096773829,1.0,nan,0.08600783493114018,8.200000000000001,8.066666666666666,0.08751179118725252,0.17647058823529413
16.0,151.0,78.88,77.19,0.01,0.0,71.09,1.68,1.65,78.89,0.17,16.0,186.0,1764.97,1739.37,0.01,0.0,1582.0,25.59,23.49,1764.98,2.97,1.0,1.2317880794701987,22.375380324543613,22.533618344345122,1.0,nan,22.253481502321,15.232142857142858,14.236363636363636,22.372670807453417,17.470588235294116
6.0,nan,0.09,0.08,0.01,nan,0.05,0.01,0.01,0.11,0.0,7.0,1.0,0.1,0.08,0.01,nan,0.05,0.01,0.01,0.11,0.0,1.1666666666666667,nan,1.1111111111111112,1.0,1.0,nan,1.0,1.0,1.0,1.0,nan
3.0,nan,0.01,0.01,0.01,nan,0.01,0.0,0.0,0.03,0.0,3.0,nan,0.01,0.0,0.01,nan,0.0,0.0,0.0,0.02,0.0,1.0,nan,1.0,0.0,1.0,nan,0.0,nan,nan,0.6666666666666667,nan
15.0,55.0,5.45,5.16,0.01,0.0,4.53,0.28,0.27,5.46,0.02,16.0,50.0,3.63,3.4,0.0,0.0,2.92,0.22,0.22,3.64,0.01,1.0666666666666667,0.9090909090909091,0.6660550458715596,0.6589147286821705,0.0,nan,0.6445916114790287,0.7857142857142857,0.8148148148148148,0.6666666666666667,0.5
