source,target
"24","488"
"24","1123"
"24","496"
"24","865"
"24","1357"
"24","500"
"24","554"
"24","294"
"24","526"
"24","868"
"24","1836"
"24","990"
"68","208"
"68","51"
"891","24"
"2160","24"
"215","24"
"1768","24"
"1400","24"
"583","24"
"489","488"
"115","24"
"1217","24"
"1230","24"
"219","48"
"1114","990"
"220","48"
"381","24"
"341","206"
"808","24"
"524","24"
"862","554"
"270","24"
"1441","24"
"183","182"
"757","24"
"8","24"
"8","0"
"213","24"
"227","206"
"1471","865"
"398","206"
"820","554"
"878","24"
"1313","420"
"598","24"
"448","48"
"235","48"
"238","24"
"272","206"
"1485","24"
"81","24"
"320","48"
"551","24"
"1052","24"
"561","24"
"1648","24"
"1347","24"
"1397","526"
"109","24"
"759","24"
"315","24"
"966","24"
"337","24"
"244","24"
"331","48"
"269","24"
"209","24"
"87","24"
"1775","24"
"1039","24"
"1502","420"
"1450","24"
"353","24"
"1614","24"
"252","24"
"1274","420"
"253","24"
"211","24"
"256","24"
"369","24"
"1134","24"
"1498","24"
"1619","24"
"255","24"
"1383","24"
"1466","24"
"428","206"
"390","24"
"60","24"
"594","24"
"912","865"
"1073","990"
"1865","24"
"447","206"
"395","24"
"590","24"
"1387","206"
"1778","24"
"530","24"
"1649","24"
"163","483"
"163","148"
"163","868"
"163","206"
"163","185"
"2026","24"
"411","24"
"1965","1959"
"1935","1934"
"1901","24"
"1043","24"
"279","24"
"1439","24"
"1955","24"
"355","24"
"1916","1909"
"282","24"
"449","24"
"2080","24"
"284","24"
"1212","24"
"370","24"
"1797","24"
"1419","24"
"442","204"
"850","554"
"690","24"
"1165","24"
"1670","24"
"528","24"
"1593","554"
"444","24"
"296","295"
"336","206"
"47","21"
"563","554"
"601","24"
"662","24"
"10","24"
"10","0"
"812","554"
"344","24"
"330","204"
"1526","24"
"459","24"
"459","48"
"1594","554"
"317","24"
"1725","420"
"824","24"
"1467","24"
"1513","420"
"718","24"
"352","24"
"322","48"
"1121","24"
"1240","24"
"30","24"
"30","0"
"326","48"
"627","24"
"1737","24"
"333","206"
"1618","24"
"1084","24"
"82","206"
"82","51"
"579","24"
"910","24"
"798","554"
"1525","24"
"691","24"
"700","24"
"1339","420"
"2009","24"
"271","24"
"1676","24"
"365","24"
"1521","24"
"711","24"
"262","24"
"338","24"
"228","24"
"228","48"
"339","48"
"508","500"
"368","24"
"658","24"
"346","24"
"1196","24"
"546","24"
"659","24"
"348","24"
"1314","24"
"405","206"
"1227","24"
"356","24"
"1944","1936"
"1081","24"
"1749","24"
"654","24"
"360","24"
"2112","24"
"361","24"
"597","554"
"265","206"
"374","24"
"226","48"
"409","24"
"1187","24"
"384","24"
"2109","24"
"386","24"
"877","24"
"46","21"
"1664","24"
"388","24"
"1399","420"
"544","526"
"984","916"
"660","24"
"577","24"
"434","206"
"234","48"
"787","24"
"37","24"
"37","0"
"450","24"
"665","24"
"399","24"
"118","24"
"942","24"
"1055","990"
"403","24"
"107","24"
"400","24"
"2151","24"
"791","554"
"1445","24"
"704","24"
"537","24"
"437","206"
"264","24"
"167","166"
"167","870"
"167","208"
"825","554"
"512","24"
"826","24"
"827","24"
"110","24"
"959","24"
"1919","24"
"828","554"
"568","24"
"889","24"
"1213","24"
"2042","24"
"829","24"
"831","554"
"261","24"
"1606","865"
"1673","24"
"834","24"
"451","24"
"836","24"
"640","24"
"838","24"
"2131","24"
"1565","24"
"839","24"
"1138","24"
"843","24"
"1218","24"
"844","24"
"345","24"
"845","554"
"847","24"
"851","24"
"1620","916"
"852","554"
"854","554"
"855","24"
"857","554"
"299","295"
"1641","24"
"858","554"
"1833","1800"
"859","554"
"2068","24"
"492","488"
"864","554"
"2104","483"
"71","206"
"71","51"
"867","866"
"1398","48"
"1398","24"
"168","493"
"168","206"
"168","166"
"168","870"
"168","184"
"869","24"
"1581","24"
"872","24"
"2170","24"
"874","24"
"1338","24"
"875","24"
"84","148"
"84","51"
"879","24"
"1563","24"
"880","24"
"881","24"
"884","24"
"885","24"
"103","24"
"941","865"
